reviews,category
pretty decent airline,"['Cabin Environment', 'Boarding Process']"
not a good airline,"['Cabin Environment', 'Boarding Process']"
flight was fortunately short,['Miscellaneous']
i will never fly again with adria,['Miscellaneous']
it ruined our last days of holidays,['Miscellaneous']
had very bad experience,['In-flight Experience']
worse than the budget airlines,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
book another company,['Miscellaneous']
combined two flights,['Miscellaneous']
the crew was nice,"['Staff Behaviour', 'In-flight Experience']"
very bad experience overall,['In-flight Experience']
bad customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
overall very poor,['Miscellaneous']
crew was friendly,"['Staff Behaviour', 'In-flight Experience']"
customer service is shocking,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
did not leave on time,['Punctuality']
so many smiles and excellent service,"['Staff Behaviour', 'In-flight Experience']"
have to pay a name change fee,['Ticket Booking & Pricing']
being so friendly and helpful,['Staff Behaviour']
good overall experience,"['In-flight Experience', 'Miscellaneous']"
hope not to use their services in the future,"['Staff Behaviour', 'In-flight Experience']"
this was my worst experience,"['Brand Reputation', 'In-flight Experience']"
friendly professional staff,['Staff Behaviour']
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
no agreed refund in record,"['Ticket Booking & Pricing', 'Compensation & Refund']"
delayed by just under 3 hours,['Punctuality']
planes have certainly seen their day,['Aircraft Maintenance']
£175 for our carry on bags,['Miscellaneous']
need my bag or reimbursement,['Compensation & Refund']
flight was very smooth,['Miscellaneous']
perfectly satisfactory flight,['Miscellaneous']
put us in separate rows,['Miscellaneous']
horrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
the support was fantastic,"['Staff Behaviour', 'Customer Service', 'Accessibility Needs']"
pilot was very nice,['Miscellaneous']
fun and unique retro-experience,['In-flight Experience']
flight was great,['Miscellaneous']
living the bad experience,['In-flight Experience']
made sure everyone had a nice flight,['Miscellaneous']
very terrible experience,"['Brand Reputation', 'In-flight Experience']"
very concerned about the safety of aeroflot,"['Aircraft Maintenance', 'Security Concerns']"
the company refused to refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
travel to russia to receive my refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
waiting for a refund for last 2.5 years,"['Punctuality', 'Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
felt very rushed and unpolished,['Miscellaneous']
best airline in russia,"['Cabin Environment', 'Boarding Process']"
for short flight is ok,['Miscellaneous']
avoid aeroitalia at all costs,"['Value for Money', 'Brand Reputation']"
don't even answer my emails anymore,['Miscellaneous']
impossible to check in online,"['Wi-Fi & Connectivity', 'Boarding Process']"
hey represent skyteam very badly,['Miscellaneous']
no customer service whatsoever,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
not offer even a glass of water,['Miscellaneous']
didn’t want to reimburse my expenses,['Miscellaneous']
trying to get my money back,['Compensation & Refund']
pleasant experience on all flights,['In-flight Experience']
i was really pleasantly surprised,['Miscellaneous']
do not recommend choosing this airline,"['Cabin Environment', 'Boarding Process']"
incredible good seat pitch,['Seat Comfort']
do not lose your money with them,['Miscellaneous']
never again will i use it,['Brand Reputation']
never use this airline again,"['Cabin Environment', 'Boarding Process']"
never fly with aeromar again,['Miscellaneous']
such bad customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
strongly advise against,['Miscellaneous']
nothing has been resolved yet,['Miscellaneous']
incompetent and unfriendly,['Miscellaneous']
service was excellent,"['Staff Behaviour', 'In-flight Experience']"
very friendly staff,['Staff Behaviour']
incompetent customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
return flight had problems,['Miscellaneous']
very disappointed,['Miscellaneous']
badly maintained aircraft,"['Cabin Environment', 'Aircraft Maintenance']"
routinely misplace baggage,['Baggage Policies']
we would highly recommend them,['Miscellaneous']
sheer disregard for the customers,['Miscellaneous']
not worth the hassle,['Value for Money']
the worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
that seems rather ridiculous,['Miscellaneous']
they have to be more customer-centric,['Miscellaneous']
"unclean, unsafe, unpunctual and unconcerned","['Punctuality', 'Hygiene', 'Security Concerns']"
needs to hold itself accountable for their actions,['Aircraft Maintenance']
they have never been on time,['Punctuality']
never fly with this airline again,"['Cabin Environment', 'Boarding Process']"
not worth the cheaper fare,['Value for Money']
cancelled three times,['Miscellaneous']
not use this service again,"['Staff Behaviour', 'In-flight Experience']"
call centre is so shocking,['Miscellaneous']
