reviews,category
pretty decent airline,"['Cabin Environment', 'Boarding Process']"
not a good airline,"['Cabin Environment', 'Boarding Process']"
had very bad experience,['In-flight Experience']
worse than the budget airlines,"['Value for Money', 'Cabin Environment', 'Boarding Process']"
the crew was nice,"['Staff Behaviour', 'In-flight Experience']"
very bad experience overall,['In-flight Experience']
bad customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
crew was friendly,"['Staff Behaviour', 'In-flight Experience']"
customer service is shocking,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
did not leave on time,['Punctuality']
so many smiles and excellent service,"['Staff Behaviour', 'In-flight Experience']"
have to pay a name change fee,['Ticket Booking & Pricing']
being so friendly and helpful,['Staff Behaviour']
good overall experience,"['In-flight Experience', 'Miscellaneous']"
hope not to use their services in the future,"['Staff Behaviour', 'In-flight Experience']"
this was my worst experience,"['Brand Reputation', 'In-flight Experience']"
friendly professional staff,['Staff Behaviour']
terrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
no agreed refund in record,"['Ticket Booking & Pricing', 'Compensation & Refund']"
delayed by just under 3 hours,['Punctuality']
planes have certainly seen their day,['Aircraft Maintenance']
need my bag or reimbursement,['Compensation & Refund']
horrible customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
the support was fantastic,"['Staff Behaviour', 'Customer Service', 'Accessibility Needs']"
fun and unique retro-experience,['In-flight Experience']
living the bad experience,['In-flight Experience']
very terrible experience,"['Brand Reputation', 'In-flight Experience']"
very concerned about the safety of aeroflot,"['Aircraft Maintenance', 'Security Concerns']"
the company refused to refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
travel to russia to receive my refund,"['Ticket Booking & Pricing', 'Compensation & Refund']"
waiting for a refund for last 2.5 years,"['Punctuality', 'Ticket Booking & Pricing', 'Compensation & Refund', 'Boarding Process']"
best airline in russia,"['Cabin Environment', 'Boarding Process']"
avoid aeroitalia at all costs,"['Value for Money', 'Brand Reputation']"
impossible to check in online,"['Wi-Fi & Connectivity', 'Boarding Process']"
no customer service whatsoever,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
trying to get my money back,['Compensation & Refund']
pleasant experience on all flights,['In-flight Experience']
do not recommend choosing this airline,"['Cabin Environment', 'Boarding Process']"
incredible good seat pitch,['Seat Comfort']
never again will i use it,['Brand Reputation']
never use this airline again,"['Cabin Environment', 'Boarding Process']"
such bad customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
service was excellent,"['Staff Behaviour', 'In-flight Experience']"
very friendly staff,['Staff Behaviour']
incompetent customer service,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
badly maintained aircraft,"['Cabin Environment', 'Aircraft Maintenance']"
routinely misplace baggage,['Baggage Policies']
not worth the hassle,['Value for Money']
the worst customer service,"['Staff Behaviour', 'Customer Service', 'Brand Reputation', 'In-flight Experience']"
"unclean, unsafe, unpunctual and unconcerned","['Punctuality', 'Hygiene', 'Security Concerns']"
needs to hold itself accountable for their actions,['Aircraft Maintenance']
they have never been on time,['Punctuality']
never fly with this airline again,"['Cabin Environment', 'Boarding Process']"
not worth the cheaper fare,['Value for Money']
not use this service again,"['Staff Behaviour', 'In-flight Experience']"
an excellent service,"['Staff Behaviour', 'In-flight Experience']"
simply not worth it,['Value for Money']
changing 3 letters cost 80eur,['Value for Money']
worst airline i experienced,"['Cabin Environment', 'Brand Reputation', 'Boarding Process', 'In-flight Experience']"
worst experience ever!,"['Brand Reputation', 'In-flight Experience']"
no customer service to contact,"['Staff Behaviour', 'Customer Service', 'In-flight Experience']"
worst cross-ocean flight i ever had,['Brand Reputation']
plane very dirty,"['Hygiene', 'Aircraft Maintenance']"
the most dirty airplane,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
flight attendants were all very friendly,['Staff Behaviour']
very bad service,"['Staff Behaviour', 'In-flight Experience']"
checked in luggage was lost,['Baggage Policies']
service onboard was excellent,"['Staff Behaviour', 'In-flight Experience']"
aircraft is old and dirty,"['Hygiene', 'Cabin Environment', 'Aircraft Maintenance']"
my luggage did not come in,['Baggage Policies']
a very traumatic experience,['In-flight Experience']
constant maintenance issues,"['Hygiene', 'Aircraft Maintenance']"
this airline is disgusting,"['Cabin Environment', 'Boarding Process']"
first and last flight with air arabia,['Cabin Environment']
still waiting for delay compensation,"['Punctuality', 'Compensation & Refund', 'Boarding Process']"
highly restrictive and unfair policy,"['Cabin Environment', 'Baggage Policies', 'Process & Policy']"
